statement,label
I am still waiting on my card?,1
What can I do if my card still hasn't arrived after 2 weeks?,1
I have been waiting over a week. Is the card still coming?,1
Can I track my card while it is in the process of delivery?,1
"How do I know if I will get my card, or if it is lost?",1
When did you send me my new card?,1
Do you have info about the card on delivery?,1
What do I do if I still have not received my new card?,1
Does the package with my card have tracking?,1
I ordered my card but it still isn't here,1
Why has my new card still not come?,1
"I still haven't received my card after two weeks, is it lost?",1
Can you track my card for me?,1
Is there a way to track the delivery of my card?,1
It's been a week since I ordered my card and it's not here. Please help?,1
Will I be able to track the card that was sent to me?,1
I don't have my card in 1 week.  Should I be worried?,1
How do I know when my new card is going to arrive?,1
My new card has not been delivered to my home yet. What is going on?,1
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,1
"On the card that is coming, what's the tracking info?",1
What is the status of my card's delivery?,1
Have you sent out my card yet?,1
My card isn't here yet.,1
where is my new card?,1
It's been a week since you sent my card and I still don't have it.,1
How do I track the card you sent me?,1
When will I recieve my new card?,1
When will I get my new card?,1
What is the expected delivery date for my card?,1
Is there a tracking number for the card you sent me?,1
I would like to track the card you sent to me.,1
Has my card been lost in delivery?,1
My new card hasn't came in.,1
Where is the card I ordered 2 weeks ago?,1
Can I get an update on my replacement card?,1
How long does it take for a new card to ship?,1
What's the tracking on the card you sent?,1
I haven't received my card and am worried it is lost.,1
My card still hasn't been delivered,1
I need to find out where the card is that I ordered.,1
Where is my credit card that was to be mailed?,1
I ordered my card but it hasn't been delivered yet,1
Am I able to track the card that was just sent to me?,1
Can you tell me why I haven't received my new card?,1
I'm still waiting for my new card.,1
Is my card lost? I am still waiting for it to be delivered.,1
Should I keep waiting for my card to be delivered?,1
Can I track when my card will be delivered?,1
How can I check on the status of my new card?,1
"A card has been sent to me, how do I track it?",1
Is there a way I can get my card expedited?,1
What can I do to track the card you sent me?,1
why hasnt my card come in yet?,1
How can I periodically check the delivery of the card you sent?,1
What's the reason my new card hasn't come?,1
How long does it take for me to get my new card?,1
I don't have my card after 1 week. What are my next steps?,1
I know I'm getting a new card but would like know when I can expect to receive it.,1
I want to find out what happened to my new card?,1
Was there a way for me to get tracking for that?,1
I am still waiting for my card.,1
My card hasn't arrived.,1
Can I track the card you sent to me?,1
I haven't gotten my new card.,1
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,1
Will I have to wait much longer for my new card to arrive?,1
how to track the card you sent,1
2 weeks ago I ordered my new card.  It isn't here.  What should I do?,1
How can I check on the delivery status of my card?,1
"My card has not been delivered yet and its been a week since I ordered it, please help",1
What's the expected wait time to recieve my new card?,1
How can I see the progress of delivery of the card that was sent?,1
"My card was supposed to arrive, but hasn't?",1
I ordered a card and would like to know how to track the delivery progress of it.,1
How long will it take for me to get my card?,1
My card hasn't shown up yet.,1
Does the card you sent have a tracking number?,1
