statement,label
"950 is in the set [7, 134, 254, 362, 950]",1
"205 is in the set [118, 290, 312, 920, 955]",0
"601 is in the set [157, 364, 600, 601, 772]",1
"162 is in the set [95, 253, 490, 781, 814]",0
"384 is in the set [50, 166, 384, 864, 867]",1
"855 is in the set [142, 151, 334, 774, 925]",0
"695 is in the set [103, 247, 363, 540, 695]",1
"879 is in the set [96, 420, 827, 946, 986]",0
"154 is in the set [55, 154, 279, 395, 487]",1
"870 is in the set [175, 267, 351, 912, 935]",0
"57 is in the set [57, 251, 255, 320, 322]",1
"724 is in the set [68, 81, 475, 504, 754]",0
"961 is in the set [150, 211, 357, 813, 961]",1
"849 is in the set [5, 80, 714, 846, 901]",0
"601 is in the set [325, 601, 637, 865, 995]",1
"284 is in the set [123, 486, 736, 883, 951]",0
"551 is in the set [137, 425, 551, 629, 831]",1
"787 is in the set [167, 272, 352, 700, 840]",0
"81 is in the set [81, 384, 595, 737, 966]",1
"621 is in the set [267, 275, 566, 655, 883]",0
"498 is in the set [25, 102, 421, 498, 800]",1
"679 is in the set [476, 535, 565, 655, 820]",0
"504 is in the set [253, 257, 496, 504, 840]",1
"477 is in the set [289, 490, 585, 720, 802]",0
"911 is in the set [184, 510, 540, 668, 911]",1
"656 is in the set [413, 435, 557, 793, 928]",0
"590 is in the set [404, 590, 652, 893, 930]",1
"260 is in the set [158, 233, 278, 510, 804]",0
"296 is in the set [123, 241, 280, 296, 982]",1
"519 is in the set [549, 551, 649, 728, 740]",0
"45 is in the set [45, 240, 369, 689, 871]",1
"156 is in the set [74, 318, 467, 598, 910]",0
"245 is in the set [80, 245, 255, 344, 399]",1
"701 is in the set [467, 615, 877, 929, 976]",0
"405 is in the set [4, 60, 76, 160, 405]",1
"610 is in the set [561, 624, 921, 970, 982]",0
"420 is in the set [353, 420, 555, 703, 868]",1
"969 is in the set [375, 401, 672, 762, 971]",0
"839 is in the set [230, 586, 697, 839, 915]",1
"965 is in the set [56, 481, 651, 652, 692]",0
"328 is in the set [89, 306, 328, 617, 666]",1
"771 is in the set [82, 126, 217, 642, 761]",0
"307 is in the set [31, 126, 223, 307, 832]",1
"875 is in the set [22, 103, 170, 508, 531]",0
"466 is in the set [270, 427, 450, 466, 827]",1
"991 is in the set [24, 314, 735, 738, 934]",0
"947 is in the set [33, 742, 861, 947, 977]",1
"864 is in the set [144, 272, 754, 833, 972]",0
"769 is in the set [317, 368, 552, 556, 769]",1
"190 is in the set [77, 428, 605, 902, 985]",0
"743 is in the set [141, 348, 743, 759, 886]",1
"865 is in the set [53, 170, 173, 244, 350]",0
"627 is in the set [27, 627, 744, 800, 846]",1
"970 is in the set [303, 308, 313, 576, 891]",0
"295 is in the set [102, 295, 544, 629, 904]",1
"620 is in the set [47, 71, 439, 522, 988]",0
"7 is in the set [7, 8, 366, 594, 625]",1
"513 is in the set [220, 224, 684, 845, 908]",0
"143 is in the set [132, 143, 755, 817, 835]",1
"8 is in the set [262, 281, 606, 723, 755]",0
"488 is in the set [233, 488, 559, 608, 786]",1
"917 is in the set [79, 247, 330, 770, 945]",0
"116 is in the set [116, 362, 468, 617, 678]",1
"299 is in the set [537, 540, 604, 732, 743]",0
"387 is in the set [171, 265, 387, 575, 687]",1
"209 is in the set [120, 158, 428, 807, 812]",0
"152 is in the set [152, 228, 637, 699, 859]",1
"63 is in the set [392, 478, 614, 853, 903]",0
"424 is in the set [424, 604, 667, 883, 917]",1
"707 is in the set [70, 484, 803, 824, 940]",0
"903 is in the set [476, 691, 768, 903, 905]",1
"17 is in the set [11, 81, 436, 756, 894]",0
"447 is in the set [362, 397, 447, 583, 672]",1
"189 is in the set [81, 452, 763, 918, 923]",0
"519 is in the set [99, 132, 253, 288, 519]",1
"125 is in the set [124, 163, 625, 755, 760]",0
"166 is in the set [92, 166, 557, 858, 975]",1
"49 is in the set [184, 392, 713, 718, 837]",0
"554 is in the set [153, 394, 495, 554, 965]",1
"248 is in the set [49, 451, 597, 638, 830]",0
"192 is in the set [192, 252, 293, 308, 771]",1
"596 is in the set [128, 510, 568, 836, 955]",0
"594 is in the set [2, 94, 480, 594, 873]",1
"823 is in the set [53, 461, 486, 515, 963]",0
"379 is in the set [102, 243, 278, 379, 433]",1
"63 is in the set [120, 287, 675, 763, 993]",0
"289 is in the set [175, 289, 413, 441, 721]",1
"902 is in the set [93, 121, 245, 658, 919]",0
"66 is in the set [66, 313, 647, 774, 988]",1
"637 is in the set [417, 546, 580, 713, 880]",0
"684 is in the set [166, 294, 684, 717, 767]",1
"939 is in the set [104, 195, 436, 551, 795]",0
"941 is in the set [25, 198, 279, 515, 941]",1
