layer,feature,label,f1_score
4,90,Financial and market-related terms and metrics,0.8
4,3,"Financial and business-related terms, including performance metrics and market updates.",0.74
4,2,"Financial and business terms, focusing on industries and market performance.",0.88
4,373,"Financial and business-related terms, including company actions and economic indicators.",0.9
4,384,Financial and business-related terms and concepts,0.88
4,156,Financial news and stock market articles,0.76
4,1,Focus on zeros in large financial or numerical figures,0.369
4,25,Financial news and stock market updates,0.72
4,141,Financial and business-related terms and concepts,0.96
4,127,"Financial and stock market-related content, including company names and metrics.",0.86
