layer,feature,label,f1_score,accuracy,precision,recall,cluster
16,54,Financial and business terms from news and analyst reports,0.822,0.708,0.786,0.863,10
16,95,Specific years in financial and market contexts,0.529,0.508,1.0,0.36,5
16,58,Denotes membership or inclusion in a specific set or group,0.286,0.308,0.75,0.176,7
16,119,Years and financial figures with zeros and twos,0.441,0.415,0.833,0.3,0
16,228,"Business and financial terms, including company names and economic indicators.",0.829,0.708,0.767,0.902,2
16,167,"Key business and financial terms, often related to specific companies or sectors.",0.83,0.723,0.786,0.88,3
16,183,Financial or business-related articles or key points,0.855,0.754,0.783,0.94,9
16,124,Financial metrics and stock-related information,0.815,0.692,0.759,0.88,10
16,264,Sentence-ending punctuation or key terms,0.485,0.514,0.615,0.4,3
16,41,Punctuation marks (periods) and preceding/following words indicate sentence boundaries.,0.471,0.64,0.571,0.4,11
16,237,Financial and geopolitical events affecting oil and energy markets,0.413,0.431,1.0,0.26,10
16,4,"Financial and tech-specific numbers, symbols, and company names",0.804,0.677,0.754,0.86,7
16,296,Concerns and expectations about company performance and market conditions.,0.682,0.569,0.811,0.588,1
16,325,Punctuation and short words in financial text,0.713,0.615,0.838,0.62,4
16,347,"Specific company names, products, and financial terms",0.811,0.692,0.768,0.86,5
16,155,Time periods and durations in financial contexts,0.595,0.538,0.917,0.44,4
16,36,"Market trends and financial movements, including stock performance and regional indicators.",0.841,0.738,0.789,0.9,2
16,70,"Financial and investment concepts, focusing on dividends and stock performance",0.642,0.554,0.839,0.52,0
16,202,"Financial and business-related terms, including stock, growth, and analyst insights.",0.804,0.692,0.788,0.82,11
16,181,Punctuation and common end-of-sentence words,0.412,0.385,0.824,0.275,6
16,72,"Financial and business-related terms, often involving market and investment contexts.",0.936,0.88,1.0,0.88,3
16,209,Negation or absence in financial and market contexts,0.632,0.569,0.96,0.471,7
16,91,Financial and business performance indicators and strategic positions,0.779,0.677,0.841,0.725,3
16,232,"Listing or enumerating specific items, segments, or details",0.276,0.354,1.0,0.16,3
16,257,"Financial and business-specific terms, including names, numbers, and actions.",0.867,0.769,0.79,0.961,0
16,120,"Business and financial market dynamics, competition, and economic activities",0.841,0.738,0.789,0.9,2
16,255,"Fragments of financial and corporate terms, including company names and years.",0.857,0.754,0.774,0.96,11
16,59,Financial performance and market trends over recent periods,0.701,0.54,1.0,0.54,3
16,206,"Financial terms, symbols, and specific numerical values",0.835,0.738,0.827,0.843,7
16,78,"Prepositions and conjunctions linking actions, states, and relationships",0.472,0.415,0.773,0.34,3
16,253,"Financial transactions, investments, and economic activities",0.807,0.677,0.746,0.88,2
16,210,"Economic and market-related terms, including prices, competition, and supply.",0.692,0.564,0.711,0.675,2
16,175,"Product names, brand-related terms, and specific industry jargon",0.708,0.569,0.739,0.68,10
16,24,"Financial and business-related concepts, including stocks, investments, and market trends.",0.936,0.88,1.0,0.88,2
16,301,Financial and stock market performance indicators and actions,0.658,0.585,0.897,0.52,6
16,353,Financial and business context markers,0.844,0.738,0.78,0.92,4
16,116,Financial metrics and percentages in financial contexts,0.762,0.692,0.97,0.627,7
16,172,"Financial and economic indicators, market performance, interest rates, and growth",0.747,0.646,0.829,0.68,4
16,3,"Financial and technological trends, market dynamics, and innovation",0.729,0.6,0.761,0.7,10
16,203,"Names, titles, and financial entities in business and tech contexts",0.824,0.7,1.0,0.7,4
16,199,Punctuation and short functional words in financial and market contexts,0.76,0.631,0.76,0.76,3
16,105,"Financial and market-related dates, events, and metrics",0.719,0.615,0.821,0.64,4
16,233,Business events and financial market activities,0.812,0.708,0.804,0.82,9
16,166,Verbs indicating causation or publication in financial contexts,0.564,0.477,0.815,0.431,7
16,82,"Financial market movements, focusing on stock and commodity prices.",0.63,0.477,0.69,0.58,0
16,263,Current or past state in business/financial context,0.846,0.754,0.815,0.88,7
16,338,"Discussions and mentions of Nvidia, its products, and market performance.",0.381,0.4,1.0,0.235,0
16,334,Leadership and professional titles in finance and business,0.29,0.323,0.818,0.176,3
16,357,Partial words and acronyms from company names and financial terms,0.875,0.785,0.79,0.98,4
16,251,End of sentences in financial and stock-related statements.,0.452,0.514,0.7,0.333,7
16,10,"Article summary structure, highlighting key details and updates",0.276,0.354,1.0,0.16,8
16,362,"Financial terms, numbers, and specific actions or events",0.804,0.677,0.768,0.843,5
16,152,Punctuation and transitional phrases indicating sentence structure and flow.,0.364,0.354,0.8,0.235,0
16,314,"Financial and business transactions, company growth, and milestones",0.86,0.769,0.807,0.92,2
16,44,"Representation of proper nouns, especially names and company names.",0.851,0.769,0.843,0.86,5
16,107,Financial and technological trends in business news,0.925,0.86,1.0,0.86,4
16,16,"Names and abbreviations of companies, financial entities, and stock market terms",0.863,0.8,0.932,0.804,4
16,20,Punctuation and common words in financial and technical contexts,0.841,0.738,0.789,0.9,7
16,49,Speculative financial predictions and market trends,0.725,0.615,0.805,0.66,9
16,123,"Financial and business-related terms, often starting with \""W\",0.462,0.462,1.0,0.3,6
16,195,Economic and financial performance indicators and trends,0.758,0.646,0.8,0.72,7
16,118,End of sentences in financial and stock-related contexts.,0.455,0.52,0.417,0.5,10
16,186,Introducing or referencing specific entities or concepts in text,0.755,0.631,0.771,0.74,1
16,279,Commas introduce additional details or separate elements in a series.,0.211,0.308,1.0,0.118,2
16,14,Financial metrics and monetary values in business contexts,0.739,0.631,0.81,0.68,7
16,214,Financial and market-related news and trends,0.936,0.88,1.0,0.88,11
16,96,"Financial and business text fragments, focusing on specific terms and symbols.",0.847,0.738,0.783,0.922,2
16,147,Spatial or directional relationships near specific locations or thresholds,0.113,0.277,1.0,0.06,3
16,144,Key points or transitions in financial or stock-related sentences.,0.5,0.36,0.381,0.727,8
16,252,"Company names, stock-related terms, financial metrics",0.796,0.677,0.788,0.804,0
16,97,"Financial and business strategic actions, confidence, and comparisons",0.808,0.692,0.792,0.824,10
16,106,Punctuation and percentage signs in financial contexts,0.514,0.477,0.9,0.36,8
16,299,Financial and company-specific terms in business and stock market contexts.,0.807,0.677,0.746,0.88,8
16,23,"Financial and investment-related terms, focusing on investor activities and market dynamics.",0.758,0.646,0.8,0.72,10
16,244,"Business collaborations, financial terms, and market comparisons",0.796,0.677,0.774,0.82,4
16,194,"Verbs indicating past, present, or future states or actions in business contexts.",0.747,0.615,0.755,0.74,1
16,322,"Corporate and financial entities, market trends, and economic indicators",0.818,0.692,0.75,0.9,1
16,293,Stock ticker symbols and company names in financial contexts,0.507,0.462,0.857,0.36,3
16,154,Financial and business-related terms and events,0.829,0.708,0.754,0.92,8
16,333,Quantitative financial data and performance metrics,0.597,0.523,0.852,0.46,3
16,234,Financial and market-related terms and trends,0.847,0.738,0.77,0.94,11
16,197,"Financial and business actions and goals, including investments, growth, and strategic positioning.",0.849,0.754,0.804,0.9,1
16,149,"Fragments of company names, stock symbols, and financial terms",0.785,0.646,0.737,0.84,10
16,282,"Financial and business-related terms, focusing on corporate achievements and metrics",0.747,0.615,0.771,0.725,7
16,318,Financial and technical details in business and technology contexts,0.87,0.785,0.81,0.94,10
16,53,"Financial figures, dates, and company actions",0.739,0.631,0.81,0.68,10
16,289,"Investor and consumer intentions, expectations, and actions in financial contexts.",0.761,0.662,0.833,0.7,7
16,399,"Financial and business terms, focusing on stocks and market performance.",0.733,0.585,0.74,0.725,5
16,90,Economic indicators and financial performance metrics,0.634,0.538,0.812,0.52,7
16,122,Financial metrics and performance indicators in business and stock reports,0.783,0.692,0.857,0.72,3
16,68,Business and financial actions or states using modal and auxiliary verbs,0.5,0.477,0.944,0.34,0
16,386,"Financial transactions and market activities, including dividends and deals.",0.784,0.677,0.809,0.76,4
16,196,Financial and technical term fragments and punctuation,0.855,0.754,0.783,0.94,4
16,94,"Time periods, company names, significant events",0.816,0.708,0.792,0.84,4
16,160,Financial and technical content markers,0.767,0.622,0.651,0.933,3
16,248,End of sentence in financial contexts,0.533,0.72,0.8,0.4,9
16,368,"Corporate and financial terminology, including business operations and market performance.",0.829,0.708,0.754,0.92,10
16,2,"Corporate actions, leadership changes, and financial policies",0.435,0.4,0.789,0.3,10
16,87,Financial news and stock market-related terms and phrases,0.852,0.754,0.807,0.902,8
16,192,Key points or transitions in financial or stock-related sentences.,0.571,0.52,0.444,0.8,3
16,297,"Company names, stock-related terms, financial metrics",0.727,0.585,0.735,0.72,10
16,75,"Financial and business terms, focusing on capital, crude, and customer satisfaction.",0.705,0.6,0.816,0.62,2
16,288,Temporal and conditional contexts in financial and stock-related discussions,0.714,0.631,0.882,0.6,1
16,236,Financial and business-related predictions and outcomes,0.781,0.646,0.745,0.82,10
16,379,"Financial and business-related terms, including company names and product launches.",0.833,0.723,0.776,0.9,10
16,370,Time-stamped financial events and market updates,0.543,0.508,0.95,0.38,5
16,77,Financial and business terms related to market dynamics and company performance,0.788,0.662,0.759,0.82,5
16,48,"Sentence boundary marker, specifically periods.",0.5,0.6,0.556,0.455,0
16,135,Hyphens denote connections or transitions in financial and technical contexts.,0.64,0.585,0.96,0.48,9
16,310,Financial performance and stock market trends,0.809,0.723,0.884,0.745,4
16,335,Denotes specific time periods or contexts in financial discussions,0.444,0.308,0.6,0.353,4
16,92,End of sentences in financial and stock-related contexts.,0.5,0.44,0.389,0.7,11
16,226,"Sentence-ending punctuation, especially periods.",0.507,0.492,1.0,0.34,1
16,246,"Financial metrics, stock symbols, and specific numerical values",0.779,0.677,0.822,0.74,3
16,104,"Financial and business-related terms, including specific numbers and company names.",0.836,0.723,0.78,0.902,3
16,80,Comma usage and conditional structuring in complex sentences,0.075,0.246,0.667,0.04,2
16,12,"Company names, financial terms, and technology keywords",0.847,0.738,0.783,0.922,0
16,268,Financial and market actions and transitions,0.784,0.677,0.826,0.745,7
16,26,Punctuation and conjunctions for sentence structure and flow,0.039,0.246,1.0,0.02,4
16,242,Financial and market-related statements and transitions,0.796,0.662,0.741,0.86,0
16,280,"Transitions, forecasts, and ongoing/future actions",0.406,0.415,0.929,0.26,7
16,111,Temporal transitions and shifts in context,0.514,0.477,0.947,0.353,9
16,93,End of sentence marker,0.133,0.48,0.25,0.091,10
16,146,Financial and economic terms related to market performance and trends,0.792,0.692,0.826,0.76,1
16,327,Financial and stock market entities and terms,0.815,0.692,0.759,0.88,7
16,103,"Fragments of company names, financial terms, and punctuation in stock news",0.836,0.723,0.78,0.902,10
16,372,AI and smart technology capabilities in devices and companies,0.333,0.385,1.0,0.2,5
16,305,"Financial metrics, percentages, and economic indicators in business contexts",0.739,0.631,0.829,0.667,9
16,98,"Pronouns and possessive adjectives referring to companies, entities, or individuals",0.71,0.585,0.767,0.66,2
16,344,"Corporate and industry-specific terms, including company names and technical segments.",0.83,0.723,0.786,0.88,6
16,132,"Financial and economic terms, market conditions, and entities",0.86,0.769,0.807,0.92,4
16,169,Financial and stock-related symbols and numbers,0.72,0.569,0.72,0.72,11
16,359,Transitions and changes in economic and market conditions,0.521,0.462,0.826,0.38,1
16,303,Financial performance and market analysis terms,0.674,0.523,0.727,0.627,5
16,369,Introduction or summary of a news article or announcement,0.355,0.385,0.917,0.22,3
16,71,Introduces clauses with additional information or context,0.455,0.446,0.938,0.3,9
16,239,Segments of company names and stock-related terms,0.727,0.585,0.75,0.706,5
16,170,Temporal and positional markers in financial and news contexts,0.753,0.646,0.814,0.7,9
16,276,Punctuation and numerical values in financial and economic text,0.6,0.508,0.8,0.48,10
16,259,Financial figures and stock symbols in financial contexts,0.779,0.677,0.822,0.74,4
16,129,Contractions and apostrophes in informal or quoted speech,0.349,0.369,0.917,0.216,0
16,128,"Significant financial milestones, records, or notable events in financial contexts",0.659,0.554,0.8,0.56,3
16,84,"Financial and market-related terms, including stock lists and performance metrics.",0.833,0.723,0.776,0.9,2
16,174,"Geographical and financial terms, often involving specific regions or metrics.",0.737,0.615,0.778,0.7,0
16,204,Time periods and financial performance indicators in business contexts,0.786,0.723,1.0,0.647,4
16,398,Ongoing or repeated financial actions or returns,0.556,0.508,0.909,0.4,5
16,215,Key details or transitions in financial content,0.5,0.36,0.364,0.8,3
16,290,"Financial stakeholders, especially investors, and their actions or perceptions.",0.714,0.569,0.729,0.7,7
16,216,Company names and financial terms in investment contexts,0.804,0.677,0.754,0.86,6
16,265,News article metadata and reporting elements,0.455,0.446,1.0,0.294,0
16,39,"Sentence boundary marker, specifically end of sentence",0.5,0.68,0.8,0.364,3
16,74,Sentence endings and contextual details,0.286,0.6,0.5,0.2,2
16,76,Financial and economic terms related to market performance and indicators,0.708,0.569,0.756,0.667,5
16,137,"Financial and business terms indicating significant opportunities, risks, or roles",0.777,0.646,0.755,0.8,5
16,165,Punctuation and common words in financial and stock-related contexts,0.822,0.708,0.772,0.88,6
16,131,Expressing or reporting opinions and beliefs,0.435,0.4,0.789,0.3,9
16,331,"Financial and market-related terms, focusing on economic indicators, stock performance, and business transitions.",0.824,0.723,0.808,0.84,1
16,45,"Phrases indicating article source, publication, or continuation",0.543,0.508,0.95,0.38,2
16,222,"Technology and financial terms, including products, companies, and market indicators.",0.777,0.646,0.755,0.8,2
16,266,News article titles and metadata structure,0.381,0.4,1.0,0.235,2
16,139,"Sentence boundary marker, specifically periods.",0.526,0.64,0.625,0.455,10
16,176,Transitions and causal relationships in financial and business contexts,0.756,0.662,0.872,0.667,3
16,190,"Continuation from article titles, often financial or market-related content.",0.688,0.538,0.717,0.66,8
16,224,Company names and stock-related terms in financial news,0.652,0.523,0.763,0.569,7
16,381,Actions or states indicating performance or change in financial contexts.,0.578,0.415,0.667,0.51,9
16,168,Time-related financial periods or durations,0.541,0.477,0.833,0.4,10
16,138,"Financial and business terms, including percentages and market activities",0.822,0.708,0.772,0.88,3
16,29,"Business and financial actions, outcomes, and strategies",0.855,0.754,0.797,0.922,2
