feature_id,activation_score,financial_relevance,interpretation
105,0.92,0.91,"Portfolio management and diversification"
133,0.94,0.93,"Trading execution and order flow"
162,0.88,0.86,"Compliance and regulatory framework"
181,0.91,0.90,"Derivatives and options trading"
203,0.89,0.87,"Currency and forex analysis"
214,0.93,0.92,"Bond and interest rate analysis"
267,0.87,0.85,"Commodity and raw material pricing"
332,0.90,0.89,"Merger and acquisition activity"
340,0.88,0.86,"IPO and public offering analysis"
66,0.86,0.84,"Analyst research and recommendations"
