prompt_idx,prompt,token_idx,token,feature_id,activation,rank
1,The stock market is performing well today with strong gains.,0,<s>,205,94.6,1
1,The stock market is performing well today with strong gains.,0,<s>,94,94.0,2
1,The stock market is performing well today with strong gains.,0,<s>,248,85.94,3
1,The stock market is performing well today with strong gains.,0,<s>,93,82.8,4
1,The stock market is performing well today with strong gains.,0,<s>,39,80.7,5
1,The stock market is performing well today with strong gains.,1,▁The,116,61.34,1
1,The stock market is performing well today with strong gains.,1,▁The,276,35.2,2
1,The stock market is performing well today with strong gains.,1,▁The,134,22.06,3
1,The stock market is performing well today with strong gains.,1,▁The,224,16.62,4
1,The stock market is performing well today with strong gains.,1,▁The,304,14.44,5
1,The stock market is performing well today with strong gains.,2,▁stock,116,25.53,1
1,The stock market is performing well today with strong gains.,2,▁stock,276,18.95,2
1,The stock market is performing well today with strong gains.,2,▁stock,271,10.766,3
1,The stock market is performing well today with strong gains.,2,▁stock,319,9.85,4
1,The stock market is performing well today with strong gains.,2,▁stock,134,8.56,5
1,The stock market is performing well today with strong gains.,3,▁market,116,34.7,1
1,The stock market is performing well today with strong gains.,3,▁market,276,17.47,2
1,The stock market is performing well today with strong gains.,3,▁market,271,15.336,3
1,The stock market is performing well today with strong gains.,3,▁market,319,15.164,4
1,The stock market is performing well today with strong gains.,3,▁market,134,11.38,5
1,The stock market is performing well today with strong gains.,4,▁is,116,31.4,1
1,The stock market is performing well today with strong gains.,4,▁is,210,18.88,2
1,The stock market is performing well today with strong gains.,4,▁is,276,14.3,3
1,The stock market is performing well today with strong gains.,4,▁is,375,12.52,4
1,The stock market is performing well today with strong gains.,4,▁is,96,11.555,5
1,The stock market is performing well today with strong gains.,5,▁performing,116,43.22,1
1,The stock market is performing well today with strong gains.,5,▁performing,134,17.69,2
1,The stock market is performing well today with strong gains.,5,▁performing,378,17.12,3
1,The stock market is performing well today with strong gains.,5,▁performing,169,16.11,4
1,The stock market is performing well today with strong gains.,5,▁performing,276,13.33,5
1,The stock market is performing well today with strong gains.,6,▁well,116,44.9,1
1,The stock market is performing well today with strong gains.,6,▁well,392,24.03,2
1,The stock market is performing well today with strong gains.,6,▁well,375,19.75,3
1,The stock market is performing well today with strong gains.,6,▁well,191,18.12,4
1,The stock market is performing well today with strong gains.,6,▁well,276,15.266,5
1,The stock market is performing well today with strong gains.,7,▁today,116,37.03,1
1,The stock market is performing well today with strong gains.,7,▁today,191,20.7,2
1,The stock market is performing well today with strong gains.,7,▁today,375,17.98,3
1,The stock market is performing well today with strong gains.,7,▁today,276,13.76,4
1,The stock market is performing well today with strong gains.,7,▁today,134,13.01,5
1,The stock market is performing well today with strong gains.,8,▁with,116,36.7,1
1,The stock market is performing well today with strong gains.,8,▁with,253,15.3,2
1,The stock market is performing well today with strong gains.,8,▁with,375,14.96,3
1,The stock market is performing well today with strong gains.,8,▁with,217,14.31,4
1,The stock market is performing well today with strong gains.,8,▁with,276,12.914,5
1,The stock market is performing well today with strong gains.,9,▁strong,116,30.86,1
1,The stock market is performing well today with strong gains.,9,▁strong,47,16.52,2
1,The stock market is performing well today with strong gains.,9,▁strong,87,13.336,3
1,The stock market is performing well today with strong gains.,9,▁strong,276,12.34,4
1,The stock market is performing well today with strong gains.,9,▁strong,345,11.414,5
1,The stock market is performing well today with strong gains.,10,▁g,247,14.3,1
1,The stock market is performing well today with strong gains.,10,▁g,161,12.625,2
1,The stock market is performing well today with strong gains.,10,▁g,119,12.13,3
1,The stock market is performing well today with strong gains.,10,▁g,116,11.89,4
1,The stock market is performing well today with strong gains.,10,▁g,263,9.74,5
1,The stock market is performing well today with strong gains.,11,ains,116,27.0,1
1,The stock market is performing well today with strong gains.,11,ains,375,16.53,2
1,The stock market is performing well today with strong gains.,11,ains,77,14.58,3
1,The stock market is performing well today with strong gains.,11,ains,50,14.17,4
1,The stock market is performing well today with strong gains.,11,ains,389,12.43,5
1,The stock market is performing well today with strong gains.,12,.,205,309.2,1
1,The stock market is performing well today with strong gains.,12,.,364,288.8,2
1,The stock market is performing well today with strong gains.,12,.,248,272.0,3
1,The stock market is performing well today with strong gains.,12,.,37,265.0,4
1,The stock market is performing well today with strong gains.,12,.,254,258.5,5
2,The weather forecast predicts sunny skies and warm temperatures.,0,<s>,205,94.6,1
2,The weather forecast predicts sunny skies and warm temperatures.,0,<s>,94,94.0,2
2,The weather forecast predicts sunny skies and warm temperatures.,0,<s>,248,85.94,3
2,The weather forecast predicts sunny skies and warm temperatures.,0,<s>,93,82.8,4
2,The weather forecast predicts sunny skies and warm temperatures.,0,<s>,39,80.7,5
2,The weather forecast predicts sunny skies and warm temperatures.,1,▁The,116,61.3,1
2,The weather forecast predicts sunny skies and warm temperatures.,1,▁The,276,35.2,2
2,The weather forecast predicts sunny skies and warm temperatures.,1,▁The,134,22.03,3
2,The weather forecast predicts sunny skies and warm temperatures.,1,▁The,224,16.62,4
2,The weather forecast predicts sunny skies and warm temperatures.,1,▁The,304,14.44,5
2,The weather forecast predicts sunny skies and warm temperatures.,2,▁weather,116,33.47,1
2,The weather forecast predicts sunny skies and warm temperatures.,2,▁weather,276,21.12,2
2,The weather forecast predicts sunny skies and warm temperatures.,2,▁weather,271,14.11,3
2,The weather forecast predicts sunny skies and warm temperatures.,2,▁weather,198,12.29,4
2,The weather forecast predicts sunny skies and warm temperatures.,2,▁weather,134,11.32,5
2,The weather forecast predicts sunny skies and warm temperatures.,3,▁forec,290,13.97,1
2,The weather forecast predicts sunny skies and warm temperatures.,3,▁forec,355,8.33,2
2,The weather forecast predicts sunny skies and warm temperatures.,3,▁forec,157,8.234,3
2,The weather forecast predicts sunny skies and warm temperatures.,3,▁forec,116,7.875,4
2,The weather forecast predicts sunny skies and warm temperatures.,3,▁forec,276,7.73,5
2,The weather forecast predicts sunny skies and warm temperatures.,4,ast,116,24.98,1
